"tilda_uid";"tilda_external_id";"tilda_sku";"tilda_title";"row_kind";"parent_tilda_uid";"variant_label";"erp_item_code";"mapping_status";"audit_source";"source_seen_at";"confirmed_at"
"773505279863";"b24-app-erp-21484";"21484";"Shelly BLU H&amp;T ZB Ivory";"parent";;;"21484";"confirmed";"erp:new_tilda_product_import:2026-09-03";"2026-09-03 08:55:00.000000";"2026-09-03 08:55:00.000000"
"485865631583";"b24-app-erp-21486";"21486";"Shelly BLU Motion ZB";"parent";;;"21486";"confirmed";"erp:new_tilda_product_import:2026-09-03";"2026-09-03 08:55:00.000000";"2026-09-03 08:55:00.000000"
"590606442213";"b24-app-erp-21488";"21488";"Shelly Wall Display X1i Black";"parent";;;"21488";"confirmed";"erp:new_tilda_product_import:2026-09-03";"2026-09-03 08:55:00.000000";"2026-09-03 08:55:00.000000"
"938908296333";"b24-app-erp-21506";"21506";"Shelly Flood S Gen4";"parent";;;"21506";"confirmed";"erp:new_tilda_product_import:2026-09-03";"2026-09-03 08:55:00.000000";"2026-09-03 08:55:00.000000"
"739784043343";"b24-app-erp-18136";"18136";"Shelly Button Add-on White";"parent";;;"18136";"confirmed";"erp:new_tilda_product_import:2026-09-03";"2026-09-03 08:55:00.000000";"2026-09-03 08:55:00.000000"
"968010937033";"b24-app-erp-21492";"21492";"Shelly Button Add-on Black";"parent";;;"21492";"confirmed";"erp:new_tilda_product_import:2026-09-03";"2026-09-03 08:55:00.000000";"2026-09-03 08:55:00.000000"
"399689669073";"b24-app-erp-21494";"21494";"Shelly Pro Modbus Add-on RS485";"parent";;;"21494";"confirmed";"erp:new_tilda_product_import:2026-09-03";"2026-09-03 08:55:00.000000";"2026-09-03 08:55:00.000000"
"959833747083";"b24-app-erp-21496";"21496";"Shelly Pro Sensor Add-on";"parent";;;"21496";"confirmed";"erp:new_tilda_product_import:2026-09-03";"2026-09-03 08:55:00.000000";"2026-09-03 08:55:00.000000"
"950115419743";"b24-app-erp-21498";"21498";"Shelly Wall Display X1i Silver";"parent";;;"21498";"confirmed";"erp:new_tilda_product_import:2026-09-03";"2026-09-03 08:55:00.000000";"2026-09-03 08:55:00.000000"
"273517606603";"b24-app-erp-21500";"21500";"Shelly Pro LoRa Add-on";"parent";;;"21500";"confirmed";"erp:new_tilda_product_import:2026-09-03";"2026-09-03 08:55:00.000000";"2026-09-03 08:55:00.000000"
"644587813393";"b24-app-erp-21502";"21502";"Shelly BLU Remote Control ZB White";"parent";;;"21502";"confirmed";"erp:new_tilda_product_import:2026-09-03";"2026-09-03 08:55:00.000000";"2026-09-03 08:55:00.000000"
"123911679653";"b24-app-erp-21504";"21504";"Shelly Wall Display X2i Silver";"parent";;;"21504";"confirmed";"erp:new_tilda_product_import:2026-09-03";"2026-09-03 08:55:00.000000";"2026-09-03 08:55:00.000000"
